index;label;degree_in;degree_out;degree_total;weight;compound_type;domain
3558;zn2[p];3;2;5;63.92804504;ion;all
3559;zn2[e];0;1;1;63.92804504;ion;all
2418;so2;2;0;2;63.96190024;ion;all
3460;so2[e];0;1;1;63.96190024;ion;all
3461;so2[p];1;1;2;63.96190024;ion;all
351;zinc;1;1;2;63.92804504;ion;all
2579;mthgxl;2;4;6;72.02112937;metabolite;all
2121;btal;1;1;2;72.05751488;metabolite;all
2578;aact;1;1;2;73.05276384;metabolite;all
2002;glx;6;4;10;74.00039392;metabolite;all
2146;lald-L;2;2;4;74.03677943;metabolite;all
2514;acetol;1;1;2;74.03677943;metabolite;all
2581;lald-D;1;1;2;74.03677943;metabolite;all
2200;acACP;2;1;3;74.99046072;metabolite;all
2255;gly;8;5;13;75.0320284;metabolite;all
3184;gly[p];1;2;3;75.0320284;metabolite;all
3185;gly[e];0;1;1;75.0320284;metabolite;all
2685;tmao;0;2;2;75.06841391;metabolite;all
2777;tmao[p];1;2;3;75.06841391;metabolite;all
3501;tmao[e];0;1;1;75.06841391;metabolite;all
2000;glyclt;6;3;9;76.01604399;metabolite;all
3174;glyclt[p];1;2;3;76.01604399;metabolite;all
3175;glyclt[e];0;1;1;76.01604399;metabolite;all
2171;12ppd-S;2;1;3;76.0524295;metabolite;all
2515;12ppd-R;3;1;4;76.0524295;metabolite;all
2700;12ppd-R[e];0;1;1;76.0524295;metabolite;all
2701;12ppd-R[p];1;1;2;76.0524295;metabolite;all
2702;12ppd-S[e];0;1;1;76.0524295;metabolite;all
2703;12ppd-S[p];1;1;2;76.0524295;metabolite;all
2683;dmso;0;2;2;78.01393581;metabolite;all
2775;dmso[p];1;2;3;78.01393581;metabolite;all
2992;dmso[e];0;1;1;78.01393581;metabolite;all
2994;seln;0;1;1;81.93217136;metabolite;all
2051;so3;10;1;11;81.97246492;ion;all
3462;so3[e];0;1;1;81.97246492;ion;all
3463;so3[p];1;0;1;81.97246492;ion;all
3427;ppt[e];0;1;1;81.98198059;metabolite;all
3428;ppt[p];1;0;1;81.98198059;metabolite;all
3441;ppt;0;1;1;81.98198059;metabolite;all
2225;4abutn;1;1;2;87.06841391;metabolite;all
1918;pyr;51;8;59;88.01604399;metabolite;all
3439;pyr[p];1;1;2;88.01604399;metabolite;all
3440;pyr[e];0;1;1;88.01604399;metabolite;all
2079;ptrc;5;3;8;88.10004838;metabolite;all
3437;ptrc[p];1;3;4;88.10004838;metabolite;all
3438;ptrc[e];0;1;1;88.10004838;metabolite;all
3007;oxam;1;1;2;89.01129296;metabolite;all
1917;ala-L;6;7;13;89.04767846;metabolite;all
1952;ala-D;18;3;21;89.04767846;metabolite;all
2340;ala-B;2;1;3;89.04767846;metabolite;all
2548;sarcs;0;1;1;89.04767846;metabolite;all
2818;ala-L[p];1;3;4;89.04767846;metabolite;all
2824;ala-L[e];0;1;1;89.04767846;metabolite;all
2862;ala-B[p];1;1;2;89.04767846;metabolite;all
2863;ala-B[e];0;1;1;89.04767846;metabolite;all
2948;ala-D[p];1;1;2;89.04767846;metabolite;all
2949;ala-D[e];0;1;1;89.04767846;metabolite;all
2040;lac-D;4;2;6;90.03169405;metabolite;all
2127;dha;3;1;4;90.03169405;metabolite;all
2165;glyald;1;1;2;90.03169405;metabolite;all
2175;lac-L;2;2;4;90.03169405;metabolite;all
2971;dha[e];0;1;1;90.03169405;metabolite;all
2972;dha[p];1;1;2;90.03169405;metabolite;all
2988;lac-D[p];1;1;2;90.03169405;metabolite;all
2989;lac-D[e];0;1;1;90.03169405;metabolite;all
3162;glyald[e];0;1;1;90.03169405;metabolite;all
3163;glyald[p];1;1;2;90.03169405;metabolite;all
3263;lac-L[p];1;1;2;90.03169405;metabolite;all
3264;lac-L[e];0;1;1;90.03169405;metabolite;all
2081;glyc;12;3;15;92.04734412;metabolite;all
3176;glyc[e];0;1;1;92.04734412;metabolite;all
3177;glyc[p];2;0;2;92.04734412;metabolite;all
3049;mso3;1;1;2;95.98811499;metabolite;all
3343;mso3[p];1;1;2;95.98811499;metabolite;all
3344;mso3[e];0;1;1;95.98811499;metabolite;all
2422;so4;2;1;3;97.96737954;ion;all
3464;so4[e];0;1;1;97.96737954;ion;all
3465;so4[p];1;1;2;97.96737954;ion;all
68;pi;773;28;801;97.97689521;ion;all
3040;pi[p];6;2;8;97.97689521;ion;all
