index;label;degree_in;degree_out;degree_total;weight;compound_type;domain
3417;phe-L[e];0;1;1;165.0789786;metabolite;all
2021;3hpppn;1;1;2;166.0629942;metabolite;all
3229;3hpppn[p];1;1;2;166.0629942;metabolite;all
3230;3hpppn[e];0;1;1;166.0629942;metabolite;all
2271;quln;1;1;2;167.0218576;metabolite;all
2375;pydx;1;1;2;167.0582431;metabolite;all
2128;pep;3;23;26;167.9823745;metabolite;all
2663;urate;1;1;2;168.02834;metabolite;all
2374;pydam;1;1;2;168.0898776;metabolite;all
2859;23dhdp;1;1;2;169.0375077;metabolite;all
2376;pydxn;1;1;2;169.0738932;metabolite;all
1995;g3p;11;3;14;169.9980246;metabolite;all
2129;dhap;9;3;12;169.9980246;metabolite;all
2860;thdp;1;1;2;171.0531578;metabolite;all
2082;glyc3p;27;19;46;172.0136746;metabolite;all
3166;glyc2p[e];0;1;1;172.0136746;metabolite;all
3167;glyc2p[p];1;0;1;172.0136746;metabolite;all
3168;glyc3p[p];1;2;3;172.0136746;metabolite;all
3169;glyc3p[e];0;1;1;172.0136746;metabolite;all
3274;glyc2p;0;1;1;172.0136746;metabolite;all
2973;3dhsk;1;1;2;172.0371734;metabolite;all
1946;3ooctACP;1;1;2;173.0636257;metabolite;all
2238;acg5sa;1;2;3;173.0688078;metabolite;all
2257;acon-C;2;1;3;174.0164379;metabolite;all
2990;acon-T;0;2;2;174.0164379;metabolite;all
2974;skm;2;1;3;174.0528234;metabolite;all
3458;skm[p];1;1;2;174.0528234;metabolite;all
3459;skm[e];0;1;1;174.0528234;metabolite;all
3499;3c4mop;1;1;2;174.0528234;metabolite;all
2241;acorn;0;2;2;174.1004423;metabolite;all
2247;arg-L;4;5;9;174.1116757;metabolite;all
2845;arg-L[p];2;3;5;174.1116757;metabolite;all
2847;arg-L[e];0;1;1;174.1116757;metabolite;all
1947;3hoctACP;1;1;2;175.0792757;metabolite;all
2249;citr-L;1;1;2;175.0956913;metabolite;all
2848;ascb-L[p];1;1;2;176.032088;metabolite;all
2849;ascb-L[e];0;1;1;176.032088;metabolite;all
2821;cbasp;2;0;2;176.0433214;metabolite;all
2056;alltt;1;1;2;176.0545547;metabolite;all
3487;3c3hmp;2;0;2;176.0684735;metabolite;all
3498;3c2hmp;0;2;2;176.0684735;metabolite;all
1961;ppi;126;3;129;177.9432257;metabolite;all
2423;cgly;2;1;3;178.0412132;metabolite;all
2884;cgly[p];1;1;2;178.0412132;metabolite;all
2885;cgly[e];0;1;1;178.0412132;metabolite;all
1975;2ddglcn;3;1;4;178.047738;metabolite;all
1977;2dh3dgal;1;1;2;178.047738;metabolite;all
2961;2ddglcn[p];1;1;2;178.047738;metabolite;all
2962;2ddglcn[e];0;1;1;178.047738;metabolite;all
2978;acanth;1;0;1;179.0582431;metabolite;all
3137;gam[p];1;1;2;179.0793725;metabolite;all
3138;gam[e];0;1;1;179.0793725;metabolite;all
2020;dhcinnm;2;1;3;180.0422587;metabolite;all
2980;34hpp;2;0;2;180.0422587;metabolite;all
2233;5mtr;1;1;2;180.0456299;metabolite;all
2029;glc-D;19;3;22;180.0633881;metabolite;all
2055;all-D;1;1;2;180.0633881;metabolite;all
2073;fru;3;1;4;180.0633881;metabolite;all
2076;gal;7;1;8;180.0633881;metabolite;all
2083;man;2;1;3;180.0633881;metabolite;all
2485;inost;5;0;5;180.0633881;metabolite;all
2797;glc-D[p];2;4;6;180.0633881;metabolite;all
2825;all-D[p];1;1;2;180.0633881;metabolite;all
2826;all-D[e];0;1;1;180.0633881;metabolite;all
3091;fru[p];1;2;3;180.0633881;metabolite;all
3092;fru[e];0;1;1;180.0633881;metabolite;all
3118;gal[p];1;2;3;180.0633881;metabolite;all
3119;gal-bD[e];0;1;1;180.0633881;metabolite;all
3120;gal-bD[p];1;0;1;180.0633881;metabolite;all
3130;gal[e];0;1;1;180.0633881;metabolite;all
3150;glc-D[e];0;2;2;180.0633881;metabolite;all
3242;inost[p];1;1;2;180.0633881;metabolite;all
3245;inost[e];0;1;1;180.0633881;metabolite;all
3271;gal-bD;0;1;1;180.0633881;metabolite;all
3296;man[p];1;1;2;180.0633881;metabolite;all
3297;man[e];0;1;1;180.0633881;metabolite;all
2355;tyr-L;2;3;5;181.0738932;metabolite;all
3518;tyr-L[p];1;1;2;181.0738932;metabolite;all
3519;tyr-L[e];0;1;1;181.0738932;metabolite;all
2022;dhpppn;2;1;3;182.0579088;metabolite;all
2123;cenchddd;1;1;2;182.0579088;metabolite;all
3131;galt[p];1;1;2;182.0790382;metabolite;all
3132;galt[e];0;1;1;182.0790382;metabolite;all
3335;mnl[p];1;1;2;182.0790382;metabolite;all
3336;mnl[e];0;1;1;182.0790382;metabolite;all
3451;sbt-D[p];1;1;2;182.0790382;metabolite;all
3452;sbt-D[e];0;1;1;182.0790382;metabolite;all
2544;3php;1;1;2;183.9772891;metabolite;all
2321;db4p;1;1;2;184.0136746;metabolite;all
2545;pser-L;1;2;3;185.0089236;metabolite;all
3435;pser-L[e];0;1;1;185.0089236;metabolite;all
3436;pser-L[p];1;0;1;185.0089236;metabolite;all
2089;tdec2eACP;1;3;4;185.1000112;metabolite;all
2543;3pg;2;2;4;185.9929392;metabolite;all
2547;2pg;1;2;3;185.9929392;metabolite;all
2326;8aonn;1;1;2;187.1208434;metabolite;all
2236;n8aspmd;1;0;1;187.1684623;metabolite;all
2237;N1aspmd;1;0;1;187.1684623;metabolite;all
2008;2mcacn;1;1;2;188.032088;metabolite;all
2991;aconm;1;0;1;188.032088;metabolite;all
2328;dann;1;1;2;188.1524779;metabolite;all
2234;acglu;1;1;2;189.0637225;metabolite;all
2970;3dhq;1;1;2;190.047738;metabolite;all
2599;26dap-M;3;2;5;190.0953569;metabolite;all
2716;26dap-M[e];0;1;1;190.0953569;metabolite;all
2717;26dap-M[p];1;1;2;190.0953569;metabolite;all
2861;26dap-LL;1;1;2;190.0953569;metabolite;all
1966;23doguln;0;1;1;192.0270026;metabolite;all
1972;25dkglcn;0;3;3;192.0270026;metabolite;all
2024;5dh4dglc;2;1;3;192.0270026;metabolite;all
2215;icit;1;2;3;192.0270026;metabolite;all
2256;cit;3;2;5;192.0270026;metabolite;all
2890;cit[p];1;1;2;192.0270026;metabolite;all
2892;cit[e];0;1;1;192.0270026;metabolite;all
1968;3dhguln;1;1;2;194.0426527;metabolite;all
1973;5dglcn;3;3;6;194.0426527;metabolite;all
1996;2dhglcn;0;2;2;194.0426527;metabolite;all
2060;tagur;3;0;3;194.0426527;metabolite;all
2157;galur;1;1;2;194.0426527;metabolite;all
2163;glcur;2;1;3;194.0426527;metabolite;all
2164;fruur;3;0;3;194.0426527;metabolite;all
2755;5dglcn[p];1;1;2;194.0426527;metabolite;all
2756;5dglcn[e];0;1;1;194.0426527;metabolite;all
3093;fruur[p];1;1;2;194.0426527;metabolite;all
3094;fruur[e];0;1;1;194.0426527;metabolite;all
3133;galur[p];1;1;2;194.0426527;metabolite;all
3134;galur[e];0;1;1;194.0426527;metabolite;all
3156;glcur[p];1;1;2;194.0426527;metabolite;all
3157;glcur[e];0;1;1;194.0426527;metabolite;all
2325;6hmhpt;1;1;2;195.0756245;metabolite;all
1997;glcn;4;1;5;196.0583027;metabolite;all
1998;idon-L;5;0;5;196.0583027;metabolite;all
2059;altrn;0;2;2;196.0583027;metabolite;all
2154;galctn-D;1;1;2;196.0583027;metabolite;all
2155;galctn-L;1;1;2;196.0583027;metabolite;all
2195;mana;0;2;2;196.0583027;metabolite;all
2798;glcn[p];2;1;3;196.0583027;metabolite;all
3122;galctn-L[p];1;1;2;196.0583027;metabolite;all
3123;galctn-L[e];0;1;1;196.0583027;metabolite;all
3124;galctn-D[p];1;1;2;196.0583027;metabolite;all
3125;galctn-D[e];0;1;1;196.0583027;metabolite;all
3147;glcn[e];0;1;1;196.0583027;metabolite;all
3234;idon-L[p];1;1;2;196.0583027;metabolite;all
3235;idon-L[e];0;1;1;196.0583027;metabolite;all
2896;phom;1;1;2;199.0245737;metabolite;all
3442;thrp;0;1;1;199.0245737;metabolite;all
3493;thrp[e];0;1;1;199.0245737;metabolite;all
3494;thrp[p];1;0;1;199.0245737;metabolite;all
2396;e4p;1;3;4;200.0085893;metabolite;all
1921;3odecACP;1;1;2;201.0949258;metabolite;all
3222;hg2;0;2;2;201.9695458;metabolite;all
3223;hg2[p];3;0;3;201.9695458;metabolite;all
3224;hg2[e];0;1;1;201.9695458;metabolite;all
1924;3hdecACP;1;1;2;203.1105758;metabolite;all
2387;dhna;1;1;2;204.0422587;metabolite;all
2553;trp-L;4;2;6;204.0898776;metabolite;all
3505;trp-L[p];1;1;2;204.0898776;metabolite;all
3506;trp-L[e];0;1;1;204.0898776;metabolite;all
2009;micit;1;1;2;206.0426527;metabolite;all
2010;2mcit;1;1;2;206.0426527;metabolite;all
2153;galct-D;1;1;2;210.0375673;metabolite;all
2162;glcr;1;1;2;210.0375673;metabolite;all
3126;galct-D[p];1;1;2;210.0375673;metabolite;all
3127;galct-D[e];0;1;1;210.0375673;metabolite;all
3148;glcr[p];1;1;2;210.0375673;metabolite;all
3149;glcr[e];0;1;1;210.0375673;metabolite;all
2144;hkntd;1;1;2;212.032088;metabolite;all
2888;4pasp;2;0;2;213.0038382;metabolite;all
2091;tddec2eACP;1;2;3;213.1313113;metabolite;all
2316;ohpb;1;1;2;213.9878538;metabolite;all
2003;2dr1p;5;1;6;214.0242393;metabolite;all
2004;2dr5p;1;1;2;214.0242393;metabolite;all
2354;dxyl5p;2;3;5;214.0242393;metabolite;all
2145;hkndd;1;1;2;214.047738;metabolite;all
2345;dtbt;1;1;2;214.1317424;metabolite;all
2395;phthr;1;2;3;215.0194883;metabolite;all
2471;g3pe;22;2;24;215.0558738;metabolite;all
3104;g3pe[p];1;1;2;215.0558738;metabolite;all
3105;g3pe[e];0;1;1;215.0558738;metabolite;all
2315;4per;1;1;2;216.0035039;metabolite;all
2288;2me4p;1;1;2;216.0398894;metabolite;all
2160;ggbutal;1;1;2;216.111007;metabolite;all
2597;LalaDglu;1;1;2;218.0902715;metabolite;all
2598;LalaLglu;1;1;2;218.0902715;metabolite;all
2552;Nmtrp;0;1;1;218.1055277;metabolite;all
2570;suchms;1;1;2;219.0742871;metabolite;all
2341;pnto-R;2;1;3;219.1106726;metabolite;all
3419;pnto-R[p];1;1;2;219.1106726;metabolite;all
3420;pnto-R[e];0;1;1;219.1106726;metabolite;all
2560;imacp;1;1;2;220.024908;metabolite;all
2563;hisp;1;1;2;221.0565425;metabolite;all
2037;acmana;1;1;2;221.0899372;metabolite;all
2585;acgam;4;1;5;221.0899372;metabolite;all
2768;acgal[e];0;1;1;221.0899372;metabolite;all
2769;acgal[p];1;0;1;221.0899372;metabolite;all
2773;acgam[p];1;1;2;221.0899372;metabolite;all
2774;acgam[e];0;1;1;221.0899372;metabolite;all
2780;acmana[p];1;1;2;221.0899372;metabolite;all
2781;acmana[e];0;1;1;221.0899372;metabolite;all
3199;acgal;1;0;1;221.0899372;metabolite;all
2303;sucbz;1;1;2;222.0528234;metabolite;all
2571;cyst-L;1;1;2;222.0674279;metabolite;all
2030;acglc-D;1;0;1;222.0739528;metabolite;all
2285;4mpetz;2;1;3;223.0068154;metabolite;all
2310;4adcho;1;1;2;225.0637225;metabolite;all
2384;chor;1;6;7;226.047738;metabolite;all
2385;ichor;2;2;4;226.047738;metabolite;all
2987;pphn;1;2;3;226.047738;metabolite;all
2263;ppbng;1;1;2;226.0953569;metabolite;all
2250;glu5p;1;1;2;227.0194883;metabolite;all
2651;dcyt;3;1;4;227.0906059;metabolite;all
2958;dcyt[p];1;1;2;227.0906059;metabolite;all
2959;dcyt[e];0;1;1;227.0906059;metabolite;all
2637;duri;4;2;6;228.0746215;metabolite;all
3008;duri[p];1;1;2;228.0746215;metabolite;all
3009;duri[e];0;1;1;228.0746215;metabolite;all
2829;pram;1;1;2;229.0351384;metabolite;all
1926;3oddecACP;1;1;2;229.1262259;metabolite;all
2017;xu5p-L;2;1;3;230.0191539;metabolite;all
2087;r1p;5;2;7;230.0191539;metabolite;all
2088;ru5p-L;2;1;3;230.0191539;metabolite;all
2113;r5p;7;5;12;230.0191539;metabolite;all
2119;xu5p-D;3;2;5;230.0191539;metabolite;all
2208;ru5p-D;2;3;5;230.0191539;metabolite;all
2209;ara5p;1;1;2;230.0191539;metabolite;all
3443;r5p[e];0;1;1;230.0191539;metabolite;all
3444;r5p[p];1;0;1;230.0191539;metabolite;all
2245;sucgsa;1;1;2;231.0742871;metabolite;all
1927;3hddecACP;1;1;2;231.141876;metabolite;all
2158;gg4abut;1;1;2;232.1059216;metabolite;all
2219;sucorn;1;1;2;232.1059216;metabolite;all
3059;fe3hox[p];1;1;2;232.9371223;metabolite;all
3060;fe3hox;2;3;5;232.9371223;metabolite;all
3062;fe3hox[e];0;1;1;232.9371223;metabolite;all
2559;eig3p;1;1;2;238.0354727;metabolite;all
2302;2shchc;1;1;2;240.0633881;metabolite;all
2278;23dhbzs;3;1;4;241.0586371;metabolite;all
2095;tmrs2eACP;1;2;3;241.1626114;metabolite;all
2231;dkmpp;1;2;3;242.0013957;metabolite;all
2642;thymd;4;2;6;242.0902715;metabolite;all
3489;thymd[p];1;2;3;242.0902715;metabolite;all
3490;thymd[e];0;1;1;242.0902715;metabolite;all
2125;cytd;5;3;8;243.0855205;metabolite;all
2944;cytd[p];1;2;3;243.0855205;metabolite;all
2945;cytd[e];0;1;1;243.0855205;metabolite;all
2072;fc1p;1;1;2;244.034804;metabolite;all
2115;rml1p;1;1;2;244.034804;metabolite;all
2187;uri;6;3;9;244.0695361;metabolite;all
3543;uri[p];1;2;3;244.0695361;metabolite;all
3544;uri[e];0;1;1;244.0695361;metabolite;all
2347;btn;3;0;3;244.0881634;metabolite;all
2391;dmpp;2;1;3;246.005826;metabolite;all
2392;ipdp;1;5;6;246.005826;metabolite;all
2499;g3pg;22;2;24;246.0504541;metabolite;all
3106;g3pg[p];1;1;2;246.0504541;metabolite;all
3107;g3pg[e];0;1;1;246.0504541;metabolite;all
2342;pydx5p;4;3;7;247.0245737;metabolite;all
2253;sucglu;1;1;2;247.0692018;metabolite;all
2343;pyam5p;3;2;5;248.0562081;metabolite;all
2377;pdx5p;2;3;5;249.0402237;metabolite;all
3511;tungs[p];1;1;2;249.9462397;metabolite;all
3512;tungs;1;0;1;249.9462397;metabolite;all
3513;tungs[e];0;1;1;249.9462397;metabolite;all
2357;glucys;1;1;2;250.0623425;metabolite;all
2265;dad-5;2;1;3;251.1018393;metabolite;all
2644;dad-2;3;2;5;251.1018393;metabolite;all
2946;dad-2[p];1;1;2;251.1018393;metabolite;all
2947;dad-2[e];0;1;1;251.1018393;metabolite;all
2645;din;4;1;5;252.0858549;metabolite;all
2984;din[p];1;1;2;252.0858549;metabolite;all
2985;din[e];0;1;1;252.0858549;metabolite;all
2986;skm5p;1;1;2;254.0191539;metabolite;all
2388;dhnpt;1;1;2;255.0967539;metabolite;all
2066;ascb6p;1;1;2;255.9984185;metabolite;all
2468;hdca;14;5;19;256.2402303;metabolite;all
2672;hdca[p];1;1;2;256.2402303;metabolite;all
3215;hdca[e];0;1;1;256.2402303;metabolite;all
1930;3omrsACP;1;1;2;257.157526;metabolite;all
2214;pppi;5;1;6;257.9095563;metabolite;all
1976;2ddg6p;2;1;3;258.0140686;metabolite;all
1978;2dh3dgal6p;1;1;2;258.0140686;metabolite;all
2803;6pgl;1;1;2;258.0140686;metabolite;all
2537;g3pc;1;2;3;258.1101004;metabolite;all
3102;g3pc[p];1;1;2;258.1101004;metabolite;all
3103;g3pc[e];0;1;1;258.1101004;metabolite;all
2036;gam6p;5;1;6;259.045703;metabolite;all
2196;gam1p;0;2;2;259.045703;metabolite;all
3135;gam6p[p];1;1;2;259.045703;metabolite;all
3136;gam6p[e];0;1;1;259.045703;metabolite;all
1931;3hmrsACP;1;3;4;259.1731761;metabolite;all
2226;5mdr1p;1;1;2;260.0119604;metabolite;all
2227;5mdru1p;1;1;2;260.0119604;metabolite;all
2053;all6p;1;1;2;260.0297186;metabolite;all
2054;allul6p;1;1;2;260.0297186;metabolite;all
2058;f6p;12;4;16;260.0297186;metabolite;all
2064;g6p;8;4;12;260.0297186;metabolite;all
2069;f1p;1;1;2;260.0297186;metabolite;all
2077;gal1p;2;2;4;260.0297186;metabolite;all
2084;man6p;5;2;7;260.0297186;metabolite;all
2116;tag6p-D;1;1;2;260.0297186;metabolite;all
2149;g1p;7;5;12;260.0297186;metabolite;all
2194;man1p;1;2;3;260.0297186;metabolite;all
2484;mi1p-D;0;1;1;260.0297186;metabolite;all
3039;f6p[p];1;1;2;260.0297186;metabolite;all
3041;f6p[e];0;1;1;260.0297186;metabolite;all
3099;g1p[e];0;1;1;260.0297186;metabolite;all
3100;g1p[p];1;0;1;260.0297186;metabolite;all
3114;g6p[p];1;1;2;260.0297186;metabolite;all
3115;g6p[e];0;1;1;260.0297186;metabolite;all
3116;gal1p[e];0;1;1;260.0297186;metabolite;all
3117;gal1p[p];1;0;1;260.0297186;metabolite;all
3292;man6p[p];1;1;2;260.0297186;metabolite;all
3293;man6p[e];0;1;1;260.0297186;metabolite;all
2379;btnso;0;2;2;260.083078;metabolite;all
3445;tyrp;0;1;1;261.0402237;metabolite;all
3516;tyrp[e];0;1;1;261.0402237;metabolite;all
3517;tyrp[p];1;0;1;261.0402237;metabolite;all
2293;h2mb4p;1;2;3;262.0007406;metabolite;all
2156;galt1p;1;1;2;262.0453687;metabolite;all
2199;mnl1p;1;1;2;262.0453687;metabolite;all
2203;sbt6p;1;1;2;262.0453687;metabolite;all
2554;13dpg;2;0;2;265.9592697;metabolite;all
2569;rhcys;1;1;2;267.0776583;metabolite;all
2044;adn;5;4;9;267.0967539;metabolite;all
2652;dgsn;4;1;5;267.0967539;metabolite;all
2799;adn[p];1;2;3;267.0967539;metabolite;all
2800;adn[e];0;1;1;267.0967539;metabolite;all
2965;dgsn[p];1;1;2;267.0967539;metabolite;all
2966;dgsn[e];0;1;1;267.0967539;metabolite;all
3294;manglyc[p];1;1;2;268.0794321;metabolite;all
3295;manglyc[e];0;1;1;268.0794321;metabolite;all
2616;ins;5;3;8;268.0807695;metabolite;all
3243;ins[p];1;2;3;268.0807695;metabolite;all
3244;ins[e];0;1;1;268.0807695;metabolite;all
2240;acg5p;2;0;2;269.030053;metabolite;all
2099;tpalm2eACP;1;2;3;269.1939115;metabolite;all
2015;3dhgulnp;2;1;3;274.0089832;metabolite;all
3154;glcur1p[e];0;1;1;274.0089832;metabolite;all
3155;glcur1p[p];1;0;1;274.0089832;metabolite;all
3272;glcur1p;1;1;2;274.0089832;metabolite;all
2218;sucarg;1;1;2;274.1277197;metabolite;all
2078;6pgc;2;2;4;276.0246332;metabolite;all
2269;4r5au;2;1;3;276.1069842;metabolite;all
2292;2mecdp;1;1;2;277.9956552;metabolite;all
2324;rdmbzi;1;1;2;278.1266571;metabolite;all
2496;ocdcea;13;3;16;282.2558803;metabolite;all
2675;ocdcea[p];1;1;2;282.2558803;metabolite;all
3376;ocdcea[e];0;1;1;282.2558803;metabolite;all
2640;gsn;5;2;7;283.0916685;metabolite;all
3192;gsn[p];1;1;2;283.0916685;metabolite;all
3193;gsn[e];0;1;1;283.0916685;metabolite;all
2665;xtsn;3;2;5;284.0756841;metabolite;all
3551;xtsn[p];1;1;2;284.0756841;metabolite;all
3552;xtsn[e];0;1;1;284.0756841;metabolite;all
2491;ocdca;13;3;16;284.2715304;metabolite;all
2674;ocdca[p];1;1;2;284.2715304;metabolite;all
3375;ocdca[e];0;1;1;284.2715304;metabolite;all
1934;3opalmACP;1;1;2;285.1888262;metabolite;all
2806;gar;1;2;3;286.0566021;metabolite;all
2968;3ig3p;1;2;3;287.0558738;metabolite;all
1935;3hpalmACP;1;1;2;287.2044762;metabolite;all
2969;2dda7p;1;1;2;288.0246332;metabolite;all
2883;sl2a6o;2;0;2;289.0797664;metabolite;all
2804;s7p;1;2;3;290.0402833;metabolite;all
3186;gmhep1p;1;1;2;290.0402833;metabolite;all
3187;gmhep7p;1;1;2;290.0402833;metabolite;all
2882;sl26da;0;2;2;290.1114009;metabolite;all
2248;argsuc;1;1;2;290.1226343;metabolite;all
2782;acmum[p];1;1;2;293.1110666;metabolite;all
2783;acmum[e];0;1;1;293.1110666;metabolite;all
2232;5mta;1;1;2;297.0895603;metabolite;all
2103;toctd2eACP;1;2;3;297.2252117;metabolite;all
2284;2mahmp;1;2;3;299.007223;metabolite;all
2317;4ppan;1;1;2;299.0770032;metabolite;all
2035;acgam6p;4;1;5;301.0562677;metabolite;all
2038;acmanap;2;1;3;301.0562677;metabolite;all
2197;acgam1p;2;2;4;301.0562677;metabolite;all
2766;acgal1p[e];0;1;1;301.0562677;metabolite;all
2767;acgal1p[p];1;0;1;301.0562677;metabolite;all
2770;acgam1p[e];0;1;1;301.0562677;metabolite;all
2771;acgam1p[p];1;0;1;301.0562677;metabolite;all
3198;acgal1p;1;1;2;301.0562677;metabolite;all
2708;23ccmp[e];0;1;1;305.0412864;metabolite;all
2709;23ccmp[p];1;0;1;305.0412864;metabolite;all
3178;23ccmp;0;1;1;305.0412864;metabolite;all
2712;23cump[e];0;1;1;306.0253019;metabolite;all
2713;23cump[p];1;0;1;306.0253019;metabolite;all
3182;23cump;0;1;1;306.0253019;metabolite;all
2627;dcmp;1;3;4;307.0569364;metabolite;all
2956;dcmp[e];0;1;1;307.0569364;metabolite;all
2957;dcmp[p];1;0;1;307.0569364;metabolite;all
2251;gthrd;6;9;15;307.0838063;metabolite;all
3196;gthrd[p];2;1;3;307.0838063;metabolite;all
3197;gthrd[e];0;1;1;307.0838063;metabolite;all
2636;dump;2;4;6;308.040952;metabolite;all
3005;dump[e];0;1;1;308.040952;metabolite;all
3006;dump[p];1;0;1;308.040952;metabolite;all
2074;frulys;2;1;3;308.1583511;metabolite;all
3089;frulys[p];1;1;2;308.1583511;metabolite;all
3090;frulys[e];0;1;1;308.1583511;metabolite;all
2041;acnam;1;1;2;309.1059812;metabolite;all
2784;acnam[p];1;1;2;309.1059812;metabolite;all
2785;acnam[e];0;1;1;309.1059812;metabolite;all
2085;r15bp;1;1;2;309.9854845;metabolite;all
2807;fgam;2;1;3;314.0515167;metabolite;all
2393;grdp;1;1;2;314.0684262;metabolite;all
2309;dhpt;1;1;2;314.1127383;metabolite;all
1939;3hoctaACP;1;1;2;315.2357764;metabolite;all
2429;trdox;9;1;10;316.0299969;metabolite;all
2505;kdo8p;1;1;2;318.0351979;metabolite;all
2428;trdrd;1;9;10;318.0456469;metabolite;all
2632;dtmp;3;3;6;322.0566021;metabolite;all
3003;dtmp[e];0;1;1;322.0566021;metabolite;all
3004;dtmp[p];1;0;1;322.0566021;metabolite;all
2301;cmp;28;4;32;323.051851;metabolite;all
2902;cmp[e];0;1;1;323.051851;metabolite;all
2903;cmp[p];1;0;1;323.051851;metabolite;all
2745;3cmp[e];0;1;1;323.051851;metabolite;all
2746;3cmp[p];1;0;1;323.051851;metabolite;all
3179;3cmp;1;1;2;323.051851;metabolite;all
2976;3psme;1;1;2;324.0246332;metabolite;all
2383;ump;12;3;15;324.0358666;metabolite;all
2750;3ump[e];0;1;1;324.0358666;metabolite;all
2751;3ump[p];1;0;1;324.0358666;metabolite;all
3183;3ump;1;1;2;324.0358666;metabolite;all
3536;ump[e];0;1;1;324.0358666;metabolite;all
3537;ump[p];1;0;1;324.0358666;metabolite;all
2268;dmlz;1;1;2;326.1226343;metabolite;all
2643;camp;1;1;2;329.0525197;metabolite;all
2706;23camp[e];0;1;1;329.0525197;metabolite;all
2707;23camp[p];1;0;1;329.0525197;metabolite;all
3172;23camp;0;1;1;329.0525197;metabolite;all
2624;damp;1;3;4;331.0681698;metabolite;all
2950;damp[e];0;1;1;331.0681698;metabolite;all
2951;damp[p];1;0;1;331.0681698;metabolite;all
2654;dimp;1;2;3;332.0521854;metabolite;all
2982;dimp[e];0;1;1;332.0521854;metabolite;all
2983;dimp[p];1;0;1;332.0521854;metabolite;all
2366;nmn;2;3;5;334.0566021;metabolite;all
2542;nmn[p];1;2;3;334.0566021;metabolite;all
3354;nmn[e];0;1;1;334.0566021;metabolite;all
2540;g3pi;1;2;3;334.0664981;metabolite;all
3108;g3pi[p];1;1;2;334.0664981;metabolite;all
3109;g3pi[e];0;1;1;334.0664981;metabolite;all
2335;dhpmp;1;1;2;335.0630844;metabolite;all
2415;Sfglutth;1;1;2;335.0787209;metabolite;all
2272;nicrnt;3;2;5;336.0478941;metabolite;all
2401;hmgth;1;1;2;337.0943709;metabolite;all
2562;aicar;2;1;3;338.0627501;metabolite;all
2814;5aizc;0;2;2;339.0467657;metabolite;all
2815;5caiz;2;0;2;339.0467657;metabolite;all
2070;fdp;2;2;4;339.9960491;metabolite;all
2117;tagdp-D;1;1;2;339.9960491;metabolite;all
2033;malt;2;5;7;342.1162115;metabolite;all
2176;lcts;1;3;4;342.1162115;metabolite;all
2186;tre;1;2;3;342.1162115;metabolite;all
3255;lcts[p];2;1;3;342.1162115;metabolite;all
3256;lcts[e];0;1;1;342.1162115;metabolite;all
3280;malt[p];1;2;3;342.1162115;metabolite;all
3287;malt[e];0;1;1;342.1162115;metabolite;all
3472;sucr[p];1;1;2;342.1162115;metabolite;all
3473;sucr[e];0;1;1;342.1162115;metabolite;all
3503;tre[p];1;1;2;342.1162115;metabolite;all
3504;tre[e];0;1;1;342.1162115;metabolite;all
2710;23cgmp[e];0;1;1;345.0474344;metabolite;all
2711;23cgmp[p];1;0;1;345.0474344;metabolite;all
3180;23cgmp;0;1;1;345.0474344;metabolite;all
2286;thmmp;3;1;4;345.0780891;metabolite;all
415;amp;99;6;105;347.0630844;metabolite;all
2630;dgmp;1;3;4;347.0630844;metabolite;all
2833;amp[e];0;1;1;347.0630844;metabolite;all
2834;amp[p];1;0;1;347.0630844;metabolite;all
2963;dgmp[e];0;1;1;347.0630844;metabolite;all
2964;dgmp[p];1;0;1;347.0630844;metabolite;all
2743;3amp[e];0;1;1;347.0630844;metabolite;all
2744;3amp[p];1;0;1;347.0630844;metabolite;all
3173;3amp;1;1;2;347.0630844;metabolite;all
2181;man6pglyc;1;1;2;348.0457626;metabolite;all
2641;imp;4;5;9;348.0471;metabolite;all
3238;imp[e];0;1;1;348.0471;metabolite;all
3239;imp[p];1;0;1;348.0471;metabolite;all
2967;2cpr5p;1;1;2;349.0562677;metabolite;all
2981;pran;1;1;2;349.0562677;metabolite;all
350;4Fe4S;1;1;2;351.4;metabolite;all
2063;arbt6p;0;1;1;352.0559334;metabolite;all
2280;25drapp;1;1;2;353.0736491;metabolite;all
2281;5apru;1;1;2;354.0576647;metabolite;all
2308;6hmhptpp;1;1;2;355.0082856;metabolite;all
2246;ametam;1;1;2;355.154686;metabolite;all
2322;5aprbu;1;1;2;356.0733148;metabolite;all
2323;5prdmbz;1;1;2;358.0929876;metabolite;all
2320;pan4p;1;1;2;358.0963587;metabolite;all
2333;gmp;6;4;10;363.057999;metabolite;all
2747;3gmp[e];0;1;1;363.057999;metabolite;all
2748;3gmp[p];1;0;1;363.057999;metabolite;all
3181;3gmp;1;1;2;363.057999;metabolite;all
3189;gmp[e];0;1;1;363.057999;metabolite;all
3190;gmp[p];1;0;1;363.057999;metabolite;all
2664;xmp;3;3;6;364.0420146;metabolite;all
3549;xmp[e];0;1;1;364.0420146;metabolite;all
3550;xmp[p];1;0;1;364.0420146;metabolite;all
2805;fprica;2;0;2;366.0576647;metabolite;all
2832;orot5p;0;2;2;368.0256959;metabolite;all
2039;acmum6p;2;1;3;373.0773971;metabolite;all
2270;ribflv;7;3;10;376.1382844;metabolite;all
2410;rbflvrd;2;6;8;378.1539344;metabolite;all
2580;lgt-S;1;1;2;379.1049356;metabolite;all
